customer_id,first_name,last_name,full_name,gender,age,tier,registration_date,region,city,email,phone
CUS2135,Donghyun,Yoo,Yoo Donghyun,Male,25,Regular,2022-11-11,Chungcheong,Gongju,yoo.donghyun2135@email.kr,010-4379-7531
CUS2100,Minjung,Han,Han Minjung,Female,47,Premium,2019-10-04,Seoul,Gangnam-gu,han.minjung2100@email.kr,010-9697-6352
CUS2015,Youngho,Bae,Bae Youngho,Male,29,Silver,2023-01-12,Gyeonggi,Bucheon,bae.youngho2015@email.kr,010-6217-5119
CUS1912,Junseok,Son,Son Junseok,Male,35,Silver,2020-01-13,Gwangju,Gwangsan-gu,son.junseok1912@email.kr,010-7077-4830
CUS2281,Jihoon,Bae,Bae Jihoon,MALE,26,Regular,2022-06-08,Gyeonggi,Hwaseong,,010-5236-6112
CUS0207,Seulgi,Moon,Moon Seulgi,Female,999,Silver,2022-04-05,Jeolla,Iksan,moon.seulgi207@email.kr,8210-5227-6954
CUS0898,Seojun,Hong,Hong Seojun,Male,68,Premium,2022-11-04,Gyeonggi,Suwon,hong.seojun898@email.kr,010-4334-1544
CUS2657,Jaewon,Bae,Bae Jaewon,Male,25,Silver,2022-09-10,Busan,Saha-gu, bae.jaewon2657@email.kr,010-2348-8979
CUS1522,Yuna,Yu,Yu Yuna,Female,32,Silver,2020-07-25,gyeongsang,Jinju,yu.yuna1522@email.kr,01016676110
CUS0763,Jiwon,Heo,Heo Jiwon,Female,39,Premium,2020-06-20,Incheon,Bupyeong-gu,heo.jiwon763@email.kr,010-8059-1655
CUS0856,Jiwon,Kim,Kim Jiwon,Female,18,Regular,2021-06-17,Daegu,Dalseo-gu,kim.jiwon856@email.kr,010-8935-2847
CUS1470,Yuna,Yang,Yang Yuna,Female,21,Regular,2023-01-14,Seoul,Mapo-gu,yang.yuna1470@email.kr,010-7650-8080
CUS0706,Yerim,Heo,Heo Yerim,Female,30,Regular,2023-10-17,Seoul,Nowon-gu,heo.yerim706@email.kr,010-7088-4903
CUS2195,Seoyeon,Choi,Choi Seoyeon,Female,44,Gold,2022-01-19,Gyeongsang,Pohang,choi.seoyeon2195@email.kr,010-1967-9701
CUS1209,Jiyeon,Choi,  Choi Jiyeon,Female,38,Regular,2022-09-23,Seoul,Songpa-gu,choi.jiyeon1209@email.kr,010-5853-9818
CUS2775,Changho,Bae,Bae Changho,M,24,Regular,2022-01-11,Jeju,Seogwipo,bae.changho2775@email.kr,010-6438-6294
CUS0454,Jiho,Moon,Moon Jiho,male,38,Regular,2024-06-06,Incheon ,Namdong-gu,moon.jiho454@email.kr,010-5786-8233
CUS2169,Subin,Yu,Yu Subin,Female,22,regular,2023-09-03,Gyeonggi,Goyang,yu.subin2169@email.kr,010-6777-3852
CUS0339,Soojin,Yoon,Yoon Soojin,Female,31,Gold,2019-11-17,Seoul,Mapo-gu,yoon.soojin339@email.kr,010-1971-8685
CUS0936,Jiho,Yang,Yang Jiho,Male,22,Silver,2024-10-11,Daejeon,Daedeok-gu,yang.jiho936@email.kr,010-1687-4734
CUS2610,Jiho,Son,Son Jiho,Male,26,Silver,2021-03-21,Seoul,Seocho-gu,son.jiho2610@email.kr,010-1725-4821
CUS0588,Seungjae,Choi,Choi Seungjae,Male,28,Silver,2021-11-23,Gwangju,Dong-gu,choi.seungjae588@email.kr,010-7366-3177
CUS0518,Yejin,Heo,Heo Yejin,Female,27,Regular,2022-11-11,Daegu,Jung-gu,heo.yejin518@email.kr,010-5102-5049
CUS0858,Hyerin,Kim,Kim Hyerin,Female,28,Regular,2022-12-14,Seoul,SONGPA-GU,kim.hyerin858@email.kr,010-6888-4380
CUS2155,Sanghoon,Kwon,Kwon Sanghoon,Male,18,Regular,2021-04-18,Gyeonggi,Ansan,kwon.sanghoon2155@email.kr,010-4690-6120
CUS2436,Jaehyun,Yoo,Yoo Jaehyun,Male,41,Gold,2019-09-10,Gangwon,Chuncheon,yoo.jaehyun2436@email.kr,010-6480-1671
CUS0688,Sungmin,Choi,Choi Sungmin,Male,25,Silver,2019-11-09,Busan,Busanjin-gu,,010-4704-8711
CUS0143,Soojin,Hwang,Hwang Soojin,Female,43,Premium,2019-11-09,Seoul,Gangnam-gu,hwang.soojin143@email.kr,010-6901-2767
CUS2399,Gunwoo,Heo,Heo Gunwoo,Male,35,Regular,2019-09-09,Jeju,Jeju City,heo.gunwoo2399@email.kr,010-7519-8901
CUS0326,Minji,Moon,Moon Minji,Female,20,Regular,2022-08-23,Gyeonggi,Bucheon,moon.minji326@email.kr,010-5009-1466
CUS0187,Youngho,Yoo,Yoo Youngho,Male,18,Regular,2024-08-16,Gyeonggi,Ansan, yoo.youngho187@email.kr,010-1582-3224
CUS0714,Minjung,Ko,Ko Minjung,Female,31,Regular,2021-01-06,Daejeon,Dong-gu,ko.minjung714@email.kr,010-4568-1145
CUS1532,Jaehyun,Kang,Kang Jaehyun,Male,26,Silver,2020-11-08,Gangwon,Samcheok,kang.jaehyun1532@email.kr,010-3170-1658
CUS1446,Jisoo,Song,Song Jisoo,Female,21,Regular,2020-01-07,Busan,Busanjin-gu,song.jisoo1446@email.kr,010-2202-7021
CUS2082,Minhyuk,Hwang,Hwang Minhyuk,Male,26,Regular,2021-06-28,Gyeongsang,Pohang,hwang.minhyuk2082@email.kr,010-5739-3451
CUS0366,Soojin,Hwang,Hwang Soojin,Female,28,Regular,2022-07-09,Daegu,Buk-gu,hwang.soojin366@email.kr,010-1334-8695
CUS1662,Mijoo,Bae,Bae Mijoo,Female,19,Regular,2023-04-25,Busan,Saha-gu,bae.mijoo1662@email.kr,010-7979-4795
CUS1322,Youngho,Heo,Heo Youngho,Male,18,Premium,2024-04-23,Incheon,Michuhol-gu,heo.youngho1322@email.kr,010-4883-5081
CUS1239,Mijoo,Yoo,Yoo Mijoo,Female,19,Silver,2020-09-03,Gyeonggi,Uijeongbu,yoo.mijoo1239@email.kr,010-6251-9639
CUS0665,Soyeon,Shin,Shin Soyeon,Female,38,Regular,2022-02-09,Seoul,Jongno-gu,shin.soyeon665@email.kr,010-7968-3346
CUS1602,Jihoon,Yoon,Yoon Jihoon,Male,18,Regular,2022-6-8,Seoul,Jongno-gu,yoon.jihoon1602@email.kr,010-1642-7662
CUS0872,Minji,Jung,Jung Minji,Female,39,Silver,2022-06-17,Gyeongsang,Andong,jung.minji872@email.kr,8210-6858-8673
CUS1878,Gunwoo,Kim,Kim Gunwoo,Male,23,Regular,2024-09-28,Busan,Nam-gu,kim.gunwoo1878@email.kr,010-1095-7038
CUS1752,Sungmin,No,No Sungmin,Male,43,Premium,2021-09-12,Seoul,Nowon-gu,no.sungmin1752@email.kr,010-7346-6028
CUS1316,Eunbi,Kang,Kang Eunbi,Female,32,silver,2024-01-12,Gyeonggi,Namyangju,kang.eunbi1316@email.kr,010-2736-2096
CUS1163,Chaewon,No,No Chaewon,Female,31,Regular,2023-01-16,Busan,Haeundae-gu,no.chaewon1163@email.kr,010-4343-6014
CUS1578,Jihyun,Shin,Shin Jihyun,Female,41,Gold,2023-09-21,Gyeonggi,Seongnam,shin.jihyun1578@email.kr,010-5749-5786
CUS1975,Jaewon,Jang,Jang Jaewon,Male,18,Silver,2021-08-28,Seoul,Dobong-gu,jang.jaewon1975@email.kr,010-5437-7439
CUS2535,Jiho,Lee,Lee Jiho,Male,46,Gold,2022-03-12,jeolla,Yeosu,lee.jiho2535@email.kr,010-3216-1381
CUS0376,Jaewon,Hwang,Hwang Jaewon,Male,41,Regular,2021-12-22,Chungcheong,Cheonan,hwang.jaewon376@email.kr,010-5919-8133
CUS2629,Seoyeon,Song,Song Seoyeon,Female,18,Regular,2023-11-13,Gyeonggi,Uijeongbu,song.seoyeon2629@email.kr,010-3746-7635
CUS0998,Soyeon,Kwon,Kwon Soyeon,Female,22,Silver,2023-03-02,Incheon,Yeonsu-gu,kwon.soyeon998@email.kr,010-6266-7660
CUS0639,Dohyun,Shin,Shin Dohyun,Male,47,Regular,2022-08-11,Daegu,Jung-gu,shin.dohyun639@email.kr,010-3370-5863
CUS1782,Yejin,Kang,Kang Yejin,Female,20,Regular,2023-09-22,Jeolla,Yeosu,kang.yejin1782@email.kr,010-5736-2866
CUS0833,Seulgi,Choi,Choi Seulgi,Female,28,Regular,2022-10-16,Seoul,Yeongdeungpo-gu,choi.seulgi833@email.kr,010-9029-5596
CUS2660,Chaewon,Choi,Choi Chaewon,Female,28,Regular,2023-05-27,Seoul,Songpa-gu,choi.chaewon2660@email.kr,010-5480-8856
CUS0441,Donghyun,Hong,Hong Donghyun,Male,42,Silver,2019-01-04,Chungcheong,Gongju,hong.donghyun441@email.kr,010-8074-7810
CUS1906,Minhyuk,Lee,Lee Minhyuk,Male,33,Prem,2020-08-27,Seoul,Nowon-gu,lee.minhyuk1906@email.kr,010-8279-5533
CUS0279,Jihyun,Ko,Ko Jihyun,Female,28,Regular,2019-12-02,Gwangju ,Seo-gu,ko.jihyun279@email.kr,01098043881
CUS1397,Byunghun,Ahn,Ahn Byunghun,MALE,32,Premium,2020-08-16,Gyeongsang,POHANG,ahn.byunghun1397@email.kr,010-8843-4508
CUS1326,Taehyun,Moon,Moon Taehyun,Male,30,Regular,2021-10-16,Gyeonggi,Suwon,moon.taehyun1326@email.kr,010-3394-5468
CUS1415,Hyunwoo,Heo,HEO HYUNWOO,Male,31,Regular,2024-08-18,Seoul,Seongdong-gu,heo.hyunwoo1415@email.kr,010-5539-9374
CUS0191,Youngho,Shin,Shin Youngho,male,18,Regular,2023-10-20,Seoul,Yeongdeungpo-gu,shin.youngho191@email.kr,010-7382-4070
CUS2414,Kyungjun,Kang,Kang Kyungjun,Male,19,Regular,2021-2-15,Gwangju,Gwangsan-gu,kang.kyungjun2414@email.kr,010-7973-3402
CUS2750,Hyerin,Bae,Bae Hyerin,Female,32,Silver,2024-08-19,Busan,Haeundae-gu,bae.hyerin2750@email.kr,010-9893-5520
CUS1603,Seungwon,Park,Park Seungwon,Male,37,regular,2024-10-25,Gyeonggi,Seongnam,park.seungwon1603@email.kr,010-9272-9137
CUS1914,Junseok,Jung,Jung Junseok,Male,31,regular,2022-06-26,Gyeonggi,Goyang,jung.junseok1914@email.kr,010-6854-1975
CUS1365,Jaehyun,Shin,Shin Jaehyun,Male,40,Regular,2022-06-25,Daegu,Dalseo-gu,shin.jaehyun1365@email.kr,010-5791-3418
CUS0188,Yoona,Moon,Moon Yoona,F,45,Silver,2024-09-11,Gyeonggi ,Namyangju,moon.yoona188@email.kr,010-8577-7782
CUS0302,Jiwon,Ko,Ko Jiwon,Female,41,Silver,2023-12-26,Gyeonggi,Ansan,ko.jiwon302@email.kr,010-2075-4085
CUS2198,Soohyun,Oh,Oh Soohyun,Male,47,Silver,2022-07-25,Incheon,Michuhol-gu,oh.soohyun2198@email.kr,010-7587-3291
CUS2381,Minjun,Choi,Choi Minjun,Male,37,Silver,2021-08-13,Gyeonggi,Goyang,choi.minjun2381@email.kr,010-4245-2232
CUS1839,Donghyun,Jung,Jung Donghyun,Male,25,Silver,2023-12-25,Chungcheong,Cheongju,jung.donghyun1839@email.kr,01048109248
CUS0003,Jaewon,No,No Jaewon,Male,51,Gold,2019-11-10,Seoul,Yeongdeungpo-gu,no.jaewon3@email.kr,010-2417-5612
CUS1194,Woosung,Choi,Choi Woosung,M,53,Gold,2024-10-20,Daejeon,Yuseong-gu,choi.woosung1194@email.kr,010-6940-4953
CUS1911,Sanghoon,Yang,Yang Sanghoon,Male,43,Regular,2020-05-23,Jeolla,Jeonju,yang.sanghoon1911@email.kr,010-8293-7374
CUS2093,Jihyun,Jo,Jo Jihyun,Female,36,Regular,2022-07-08,Gyeongsang,Andong,jo.jihyun2093@email.kr,010-8590-3525
CUS0633,Seulgi,Ahn,AHN SEULGI,Female,41,Silver,2023-09-21,Seoul,Mapo-gu,ahn.seulgi633@email.kr,010-9060-2481
CUS2007,Hyunwoo,Yoon,Yoon Hyunwoo,M,999,Silver,2020-03-23,Gyeonggi,Goyang,yoon.hyunwoo2007@email.kr,01093281276
CUS1725,Minhyuk,Yu,Yu Minhyuk,Male,33,Regular,2021-03-11,Busan,Suyeong-gu,yu.minhyuk1725@email.kr,010-6958-5006
CUS1743,Dohyun,Choi,Choi Dohyun,Male,32,Regular,2022-03-06,SEOUL,Dobong-gu,choi.dohyun1743@email.kr,010-1685-2981
CUS0329,Jisoo,Hong,Hong Jisoo,Female,49,Premium,2019/08/23,seoul,Gangnam-gu,hong.jisoo329@email.kr,010-3219-6855
CUS2282,Yerim,Lee,Lee Yerim,female,27,Silver,2022-03-15,Daegu,Dalseo-gu,lee.yerim2282@email.kr,010-7864-4584
CUS2332,Taehyun,Bae,Bae Taehyun,Male,36,Silver,2019-05-26,Gyeonggi,Hwaseong,bae.taehyun2332@email.kr,010-5795-8129
CUS1628,Chaeyoung,Choi,Choi Chaeyoung,Female,35,Silver,2019-09-10,gyeonggi,Bucheon,choi.chaeyoung1628@email.kr,010-4185-3869
CUS0100,Jisoo,Moon,Moon Jisoo,Female,38,Regular,2023-09-17,Gyeonggi,Suwon,moon.jisoo100@email.kr,010-3001-5150
CUS0591,Taehyun,Kim,Kim Taehyun,Male,42,Regular,2023-02-10,Seoul,Seocho-gu,kim.taehyun591@email.kr,010-4873-8020
CUS0745,Naeun,Yoon,Yoon Naeun,female,27,Regular,2020-03-04,Seoul,Songpa-gu,yoon.naeun745@email.kr,010-3344-7184
CUS0569,Seoyeon,Son,Son Seoyeon,Female,39,Silver,2021-03-14,Gyeonggi,Bucheon, son.seoyeon569@email.kr,010-5081-3942
CUS2643,Dohyun,Park,Park Dohyun,Male,51,Premium,2019-08-02,Gyeonggi ,Bucheon,,010-2677-3496
CUS0671,Chaeyoung,Yoo,YOO CHAEYOUNG,Female,32,Premium,2019-06-23,Seoul,Gwanak-gu,yoo.chaeyoung671@email.kr,01056205440
CUS1034,Donghyun,Lee,Lee Donghyun,Male,38,Silver,2023-03-09,Seoul,Dobong-gu,lee.donghyun1034@email.kr,010-3300-6169
CUS1468,Kyungjun,Sim,Sim Kyungjun,Male,999,Regular,2024-12-18,Gyeonggi,Goyang,sim.kyungjun1468@email.kr,010-9287-6947
CUS1087,Jiyeon,Yu,Yu Jiyeon,Female,30,Regular,2023-11-06,Gangwon,Gangneung,yu.jiyeon1087@email.kr,010-2610-7280
CUS1901,Naeun,Yang,Yang Naeun,Female,18,Regular,2020-05-07,Busan,Suyeong-gu,yang.naeun1901@email.kr,010-6897-8173
CUS0659,Jiwoo,Hong,Hong Jiwoo,Male,44,Gold,2022-02-18,Seoul,Songpa-gu,hong.jiwoo659@email.kr,010-5206-1573
CUS0413,Hyunwoo,Jung,Jung Hyunwoo,Male,34,Regular,2021-01-16,Jeolla,Jeonju,jung.hyunwoo413@email.kr,010-5263-3679
CUS0513,Jiyeon,Kwon,Kwon Jiyeon,Female,23,Silver,2023-06-14,Seoul,Gangnam-gu,kwon.jiyeon513@email.kr,010-7666-5489
CUS2024,Nayeon,Shin,Shin Nayeon,Female,19,Regular,2022-06-23,Gyeongsang,Changwon,shin.nayeon2024@email.kr,010-9690-9761
CUS0225,Jiwoo,Moon,Moon Jiwoo,Male,29,Regular,2024-12-20,Gyeonggi,Hwaseong,moon.jiwoo225@email.kr,010-7974-3945
CUS0616,Yerim,Kwon,Kwon Yerim,Female,39,Regular,2021.03.23,Seoul,Jongno-gu,kwon.yerim616@email.kr,010-3200-4244
CUS0428,Donghyun,Hwang,Hwang Donghyun,Male,55,Gold,2019-08-10,chungcheong,Gongju,hwang.donghyun428@email.kr,010-3434-3093
CUS0705,Hayoon,Choi,Choi Hayoon,Female,24,Regular,2023-11-18,Gangwon,Chuncheon ,choi.hayoon705@email.kr,010-3134-6426
CUS1133,Eunbi,Lim,Lim Eunbi,Female,29,Regular,2020-03-11,Gyeonggi,Seongnam,lim.eunbi1133@email.kr,010-8859-8698
CUS1293,Hyunjae,Yang,Yang Hyunjae,Male,47,Silver,2023-06-12,Gyeonggi,Bucheon,yang.hyunjae1293@email.kr,010-9398-7955
CUS2745,Minjun,No,No Minjun,Male,40,Silver,2021-02-22,Seoul,Gwanak-gu,no.minjun2745@email.kr,010-7208-3000
CUS2079,Eunbi,Lee,Lee Eunbi,F,38,Gold,2020.01.26,Daejeon,Jung-gu,,010-4695-3474
CUS2140,Minseok,Jang,Jang Minseok,Male,24,Gold,2022-09-19,Gyeongsang,Changwon,jang.minseok2140@email.kr,010-4112-1674
CUS2417,Hyunwoo,Son,Son Hyunwoo,Male,24,Regular,2022-05-27,Seoul,Mapo-gu,son.hyunwoo2417@email.kr,010-5713-2905
CUS0733,Jihoon,Kang,Kang Jihoon,Male,24,Regular,2021-05-12,Daegu,Jung-gu,kang.jihoon733@email.kr,010-2249-6467
CUS0548,Jaehyun,Lee,Lee Jaehyun,Male,35,Regular,2022-06-14,Seoul,Gwanak-gu,lee.jaehyun548@email.kr,010-8391-8660
CUS2064,Jiwon,Park,Park Jiwon,Female,27,Regular,2023-07-26,Gyeongsang ,Changwon,park.jiwon2064@email.kr,010-8475-6983
CUS2090,Chaeyoung,Jung,Jung Chaeyoung,Female,20,Premium,2021-07-12,Jeju,Jeju City,jung.chaeyoung2090@email.kr,010-9892-2371
CUS1375,Minhyuk,Moon,Moon Minhyuk,Male,40,Silver,2024-04-01,Gwangju,Buk-gu,moon.minhyuk1375@email.kr,010-1265-1509
CUS1436,Soyeon,Nam,Nam Soyeon,Female,21,Regular,2021-05-06,Gyeongsang,Pohang,nam.soyeon1436@email.kr,010-9528-2094
CUS2218,Seungwon,Jang,Jang Seungwon,Male,34,Regular,2022-8-15,Seoul,Songpa-gu,jang.seungwon2218@email.kr,010-1228-5113
CUS0563,Hyunwoo,Park,Park Hyunwoo,Male,38,Slvr,2021-04-10,Chungcheong,Gongju,park.hyunwoo563@email.kr,010-9591-2146
CUS0702,Seungjae,Seo,Seo Seungjae,Male,18,Regular,2024-12-14,Gyeonggi,Bucheon,seo.seungjae702@email.kr,010-5046-6240
CUS1854,Mijoo,Ko,Ko Mijoo,Female,29,Regular,2022-10-17,Busan,Dongrae-gu,ko.mijoo1854@email.kr,010-9429-3539
CUS1988,Jihoon,Yoon,Yoon Jihoon,Male,36,Regular,2024-11-01,Gyeonggi,Goyang,yoon.jihoon1988@email.kr,010-9667-7732
CUS1422,Jiho,Park,Park Jiho,Male,25,Gold,2023-05-26,Gwangju,Dong-gu,park.jiho1422@email.kr,010-8966-3040
CUS2732,Seungwon,Lee,Lee Seungwon,M,37,Gold,2023-08-20,Daejeon,Yuseong-gu,lee.seungwon2732@email.kr,010-4547-1617
CUS2722,Yerin,Jung,Jung Yerin,Female,22,Regular,2024-11-06,Gyeonggi,Uijeongbu,jung.yerin2722@email.kr,010-7366-5858
CUS1197,Hyunjae,Heo,Heo Hyunjae,Male,28,Regular,2021-08-08,Jeolla,Iksan,heo.hyunjae1197@email.kr,010-8106-5354
CUS1438,Yejin,Sim,Sim Yejin,Female,29,Regular,2021-04-20,Gyeonggi,Goyang,sim.yejin1438@email.kr,010-2262-2103
CUS1426,Jiyeon,Yu,Yu Jiyeon,Female,35,Gold,2020-11-16,Gyeonggi,Bucheon,yu.jiyeon1426@email.kr,010-8154-9584
CUS0884,Yoona,Moon,MOON YOONA,Female,36,Gold,2020-12-22,Seoul,Gangnam-gu,moon.yoona884@email.kr,010-4943-3797
CUS2602,Mijoo,No,No Mijoo,Female,35,Premium,2019-04-17,Daegu,Dalseo-gu,no.mijoo2602@email.kr,010-7737-1995
CUS0770,Soyeon,Sim,Sim Soyeon,Female,48,Premium,2022-11-02,Seoul,Gangnam-gu,sim.soyeon770@email.kr,010-5011-1130
CUS0537,Hyunwoo,Kim,Kim Hyunwoo,M,34,Premium,2023-02-01,Jeolla,Yeosu,kim.hyunwoo537@email.kr,010-3248-7208
CUS1319,Sanghoon,Jung,Jung Sanghoon,Male,37,Silver,2021-12-12,GYEONGGI,Pyeongtaek,jung.sanghoon1319@email.kr,010-3099-7054
CUS0420,Dongwook,Ko,Ko Dongwook,Male,18,Regular,2021-12-24,Seoul,Gwanak-gu,ko.dongwook420@email.kr ,8210-3118-4463
CUS1011,Seojun,Hong,Hong Seojun,Male,37,Reg,2020-04-09,Gyeonggi,Goyang,hong.seojun1011@email.kr,010-3921-5307
CUS2187,Seungwon,Yoon,Yoon Seungwon,Male,38,Premium,2020-09-11,Gyeonggi,Suwon, yoon.seungwon2187@email.kr,010-8117-9787
CUS1699,Hyunjae,Hong,Hong Hyunjae,Male,18,Regular,2022-01-20,Seoul,Yeongdeungpo-gu,hong.hyunjae1699@email.kr,010-3156-8831
CUS1413,Seoyeon,Jang,Jang Seoyeon,Female,24,Regular,2022-05-19,Gyeongsang,Gyeongju,jang.seoyeon1413@email.kr,010-8521-9804
CUS1303,Seojun,Kang,Kang Seojun,Male,22,silver,2021-09-19,Seoul,Songpa-gu,kang.seojun1303@email.kr,010-4102-3031
CUS1701,Soohyun,Jung,Jung Soohyun,Male,30,Gold,2022-07-14,Chungcheong,Asan,jung.soohyun1701@email.kr,010-1956-6315
CUS1652,Yuna,Shin,Shin Yuna,Female,60,Premium,2021-02-15,Gyeonggi,Seongnam,shin.yuna1652@email.kr,010-1174-4357
CUS0072,Minjun,Yoon,Yoon Minjun,Male,45,Premium,2021-11-04,Gyeongsang,Jinju,yoon.minjun72@email.kr,010-8370-6483
CUS0821,Dahyun,Yoon,Yoon Dahyun,Female,32,Silver,2020-09-09,Busan ,Dongrae-gu, yoon.dahyun821@email.kr,010-2225-7909
CUS0341,Jaehyun,Sim,Sim Jaehyun,Male,42,Gold,2020-06-01,Chungcheong,Cheonan,sim.jaehyun341@email.kr,010-2487-3384
CUS1276,Yuna,Song,SONG YUNA,female,42,Regular,2021-08-01,Seoul,Dobong-gu,song.yuna1276@email.kr,010-4382-7323
CUS2616,Minji,Hong,Hong Minji,Female,37,Gold,2020-11-25,Gyeonggi,Hwaseong,hong.minji2616@email.kr,+82-10-4600-3757
CUS1055,Eunji,Lee,Lee Eunji,Female,23,Silver,2021-02-11,Gyeonggi ,Yongin,lee.eunji1055@email.kr,010-7292-3947
CUS2577,Chaewon,Heo,Heo Chaewon,Female,21,Silver,2024-12-03,Gwangju,Nam-gu,heo.chaewon2577@email.kr,010-5632-8337
CUS2168,Changho,Moon,Moon Changho,Male,24,Regular,2024-03-14,Seoul,Yeongdeungpo-gu,moon.changho2168@email.kr,010-1613-9404
CUS1531,Soyeon,Moon,Moon Soyeon,Female,29,Silver,2022-02-13,Gyeonggi,Uijeongbu,moon.soyeon1531@email.kr,010-4132-5144
CUS2424,Yejin,Jo,Jo Yejin,Female,18,regular,2023-09-27,Gyeonggi,Ansan,jo.yejin2424@email.kr,+82-10-7368-5186
CUS0986,Minjun,Nam,Nam Minjun,Male,18,Regular,2023-09-04,Seoul,Gangnam-gu,nam.minjun986@email.kr,010-9216-7519
CUS0771,Byunghun,Choi,Choi Byunghun,Male,49,PREMIUM,2020-10-13,Seoul,Seongdong-gu,choi.byunghun771@email.kr,010-2195-4654
CUS1924,Jaewon,Shin,Shin Jaewon,Male,41,Silver,2019-07-16,Seoul,Mapo-gu,shin.jaewon1924@email.kr,010-1213-1314
CUS0296,Yoonsoo,Yang,Yang Yoonsoo,Male,35,Regular,2023-06-24,Seoul,Mapo-gu,yang.yoonsoo296@email.kr,010-1898-9433
CUS2125,Yejin,Choi,Choi Yejin,Female,38,Regular,2024-12-04,Gyeongsang,Gyeongju,choi.yejin2125@email.kr,010-6772-7864
CUS0126,Seoyeon,Jung,Jung Seoyeon,Female,26,Gold,2020-10-08,Daegu,Suseong-gu,jung.seoyeon126@email.kr,010-4817-5198
CUS1592,Jaewon,Bae,Bae Jaewon,M,41,Regular,2022-02-10,Gyeongsang,Andong,bae.jaewon1592@email.kr,010-5126-2346
CUS1366,Seulgi,Yu,Yu Seulgi,F,18,Silver,2021-07-03,Gyeonggi,Hwaseong,yu.seulgi1366@email.kr,010-5148-3255
CUS0752,Sungmin,No,No Sungmin,Male,27,Premium,2020-02-17,Seoul,Jongno-gu,no.sungmin752@email.kr,010-7185-3050
CUS1058,Dongwook,Nam,Nam Dongwook,Male,41,Regular,2023-01-06,Gyeonggi,Hwaseong,nam.dongwook1058@email.kr,010-6226-3109
CUS0119,Yerim,Choi,Choi Yerim,Female,39,Premium,2020-08-23,Gyeonggi,Uijeongbu,choi.yerim119@email.kr,010-7997-2705
CUS2291,Hayoon,Jung,Jung Hayoon,Female,27,Premium,2020-05-26,Chungcheong,Cheonan,jung.hayoon2291@email.kr,010-4432-6039
CUS1451,Soojin,Jang,Jang Soojin,Female,32,Premium,2023-02-10,Daejeon,Seo-gu,jang.soojin1451@email.kr,010-7128-1870
CUS0636,Minji,Han,Han Minji,Female,40,Silver,2020-06-24,Seoul,MAPO-GU,,010-4082-2902
CUS0980,Yejin,Shin,Shin Yejin,Female,38,Silver,2021-05-02,Gyeonggi,Namyangju, shin.yejin980@email.kr,010-5396-8954
CUS0721,Eunbi,Moon,Moon Eunbi,Female,38,Regular,2022-08-08,Daegu ,Dong-gu,moon.eunbi721@email.kr,8210-6312-5403
CUS2197,Soojin,Sim,Sim Soojin,Female,27,Silver,2021-12-15,Gyeonggi,Goyang,sim.soojin2197@email.kr,010-4384-7561
CUS0579,Kyungjun,Seo,Seo Kyungjun,Male,35,Silver,2020-01-22,Gyeonggi,Goyang,seo.kyungjun579@email.kr,010-9721-4541
